ID,A1,A2,A2-1,A3,A4,B1,B2,B3,B4,B5,B6,C1,C1-1,C2,C3,C4
0,1,105,9,24500,399,1,1,2,1,1,1,92,3,2,2,7
1,2,105,9,21300,1050,2,2,1,1,1,1,55,1,2,2,4
2,2,105,10,21000,1043,2,2,1,2,1,1,44,6,1,2,1
3,2,105,7,21000,966,2,2,1,2,2,2,51,3,1,2,3
4,3,104,12,16000,699,2,2,2,2,2,2,78,9,2,2,4
5,6,104,3,6000,188,3,3,1,1,1,3,27,1,1,2,9
6,3,103,8,15000,1155,2,3,1,2,2,2,85,4,1,2,7
7,3,105,6,6999,299,2,4,2,2,2,2,86,9,2,1,7
8,2,106,7,7999,500,2,2,3,2,2,2,87,3,2,1,7
9,3,104,6,8000,299,3,2,3,2,3,2,87,8,1,1,7
10,6,104,5,4500,798,2,2,2,3,2,2,86,12,2,1,7
11,3,106,2,3999,399,2,2,1,2,2,2,86,10,2,1,7
12,1,106,4,28000,439,1,1,1,1,1,1,85,7,1,2,7
13,3,106,10,4999,599,2,2,1,2,2,2,87,1,2,1,7
14,3,105,4,21000,999,2,2,2,2,2,2,86,9,2,1,7
15,7,104,10,12000,199,2,2,3,2,3,2,85,10,1,1,7
16,3,105,4,8999,999,2,2,1,2,3,2,87,5,2,1,7
17,3,106,4,12000,188,3,2,3,2,2,2,85,8,2,1,7
18,1,106,8,30000,498,1,1,1,2,1,1,64,4,2,1,2
19,6,106,7,8000,599,2,1,3,2,2,2,86,12,2,1,7
20,3,103,1,12000,499,2,2,1,2,2,2,87,8,2,1,7
500,1,105,9,24500,499,1,2,3,1,1,1,87,10,1,1,7
501,8,106,12,499,699,1,1,1,1,1,1,88,8,1,2,7
502,1,106,1,23000,600,1,1,3,2,2,2,80,12,2,2,4
503,3,107,8,12500,499,2,2,1,1,2,2,67,4,2,2,4
504,8,107,5,4990,599,2,4,5,1,3,4,79,5,1,2,4
505,1,105,9,18000,988,1,4,1,4,4,4,87,10,1,1,7
506,1,107,7,24000,1200,1,1,3,3,2,2,87,12,2,1,7
507,1,105,9,21000,899,1,2,2,4,3,2,87,10,1,1,4
508,3,107,1,28000,1000,1,1,3,2,2,2,55,12,2,1,4
509,1,103,7,22500,699,2,2,3,4,4,3,87,12,1,1,7
510,1,105,2,22900,499,1,1,3,1,2,1,88,5,1,2,7
511,1,107,5,23000,598,2,2,4,2,3,2,88,7,2,1,7
512,1,106,3,20000,1000,1,1,1,1,1,2,87,10,2,1,7
513,1,106,2,19900,1399,2,2,3,3,3,2,87,9,2,4,7
514,1,104,10,20000,699,2,2,1,2,2,3,88,1,1,2,7
515,4,106,8,10000,999,2,1,2,4,2,2,88,3,2,2,7
516,1,105,6,13000,999,2,2,1,2,2,2,88,8,2,2,7
517,3,105,3,10000,1399,2,2,1,3,3,2,88,3,2,2,7
518,1,106,10,19000,499,2,1,3,2,2,2,88,5,2,2,7
519,2,105,8,15000,600,2,3,1,2,3,3,88,6,2,2,7
520,8,106,6,15900,699,2,2,3,3,3,2,87,12,1,5,7
805,4,106,8,19800,200,2,2,3,2,2,2,38,2,2,1,8
806,1,105,11,27625,499,1,1,2,3,3,2,67,9,2,1,9
807,1,105,9,32900,499,2,2,1,3,3,2,77,6,2,2,9
808,1,106,3,25000,699,1,1,1,4,3,2,70,10,2,2,4
809,1,107,2,34000,699,2,1,2,2,3,2,78,11,1,1,4
810,1,106,1,31000,499,2,2,3,3,3,2,60,7,1,1,4
811,3,107,3,23000,999,1,2,1,2,2,1,79,2,1,1,3
812,6,104,3,15000,1000,2,4,1,3,1,2,79,6,2,2,3
813,4,106,8,19800,398,2,2,1,2,2,2,31,3,1,1,9
814,2,105,11,8000,700,3,2,2,3,3,2,77,11,1,1,3
815,2,106,12,23500,1399,2,2,2,4,2,2,61,10,2,1,2
816,1,106,7,30000,699,1,1,1,1,1,1,81,7,1,2,3
817,1,106,10,30000,399,1,1,2,2,2,1,78,11,2,1,3
818,3,107,7,28900,699,1,1,3,4,2,1,83,8,1,2,3
819,3,107,9,25000,799,2,2,2,2,3,2,81,10,1,2,3
820,7,107,11,10000,599,2,2,1,3,2,2,84,8,2,1,7
900,1,106,1,23900,699,2,2,1,3,3,1,87,12,1,1,7
901,4,107,1,21900,699,2,2,2,3,2,2,83,2,1,1,4
902,4,106,10,20900,799,1,2,2,2,3,2,84,10,1,1,4
903,1,105,11,28900,699,1,1,2,3,3,2,85,9,2,1,7
904,1,106,2,22900,498,1,1,1,1,2,1,86,12,1,1,7
905,8,107,8,15500,699,1,1,2,1,2,1,88,6,2,1,7
906,8,106,11,20900,699,2,2,5,3,2,2,85,7,1,1,7
907,1,106,5,25500,899,1,2,1,3,3,2,84,11,2,1,7
908,1,105,6,12500,498,2,2,1,3,3,2,79,6,1,1,4
909,8,106,10,10000,599,1,1,1,2,2,2,88,8,1,2,7
910,3,107,2,29900,999,1,1,1,3,3,2,83,7,2,1,4
911,4,106,4,10900,599,2,2,1,3,3,2,85,6,2,1,7
912,1,106,2,16300,498,2,2,2,2,3,3,84,2,2,2,7
913,6,105,9,10000,599,2,3,1,3,3,2,86,10,1,1,7
914,1,107,1,18900,599,1,1,1,2,3,1,87,10,1,1,7
915,4,105,6,20900,799,2,2,5,2,2,2,85,11,2,1,7
916,2,105,3,14900,599,2,2,2,3,3,2,86,4,1,1,7
